GEO_ID,,USP_MARGIN_2016,USS_MARGIN_2016,USC_MARGIN_2016,USP_MARGIN_2012,USS_MARGIN_2012,USC_MARGIN_2012,USP_MARGIN_CHANGE,USS_MARGIN_CHANGE,USC_MARGIN_CHANGE,TOTALPOP_2010,TOTALPOP_2015,TOTALPOP_CHANGE,POPDEN_2010,POPDEN_2015,POPDEN_CHANGE,NONWHITE_2010,NONWHITE_2015,NONWHITE_CHANGE,UNEMPLOY_2010,UNEMPLOY_2015,UNEMPLOY_CHANGE,COLLEGE_2010,COLLEGE_2015,COLLEGE_CHANGE,INC_2010,INC_2015,INC_CHANGE
1400000US42001030101,,0.520348837,0.488824802,0.601459854,0.445830086,0.43515625,0.554681353,0.074518751,0.053668552,0.046778501,2597,2586,-0.0042,122.8476821,122.3273415,-0.423565664,4.6,5.2,0.006,3.4,6.3,0.029,18.8,19.7,0.009,70729,74667,0.055677304
1400000US42001030102,,0.45683728,0.403287462,0.527173913,0.360099338,0.317651957,0.477838751,0.096737942,0.085635505,0.049335162,5709,5809,0.0175,216.9567531,220.7570115,1.75162024,6.5,5.4,-0.011,7.2,5.9,-0.013,15.7,23.5,0.078,62372,66806,0.071089591
1400000US42001030200,,0.511120802,0.48580166,0.598575879,0.419403739,0.390481064,0.536560247,0.091717063,0.095320596,0.062015632,5656,5198,-0.081,120.9063702,111.1158615,-8.097595423,15.3,17.9,0.026,5.3,7,0.017,11.8,12.6,0.008,52424,51573,-0.016233023
1400000US42001030300,,0.449180328,0.428961749,0.535991141,0.414072229,0.378835316,0.483972344,0.035108099,0.050126433,0.052018797,3932,4258,0.0829,91.1239861,98.67902665,8.290946076,17.1,10.9,-0.062,5,5.7,0.007,17.4,16.8,-0.006,52731,62757,0.190134835
1400000US42001030400,,0.414486159,0.380735684,0.484344801,0.267944535,0.26674887,0.370463079,0.146541624,0.113986814,0.113881722,5661,5796,0.0238,82.16970999,84.12924202,2.384737673,11.4,7.5,-0.039,2.9,3.8,0.009,18.2,22.7,0.045,57194,60478,0.05741861
1400000US42001030500,,0.434017595,0.420930233,0.549528302,0.367647059,0.332094176,0.476635514,0.066370536,0.088836057,0.072892788,3676,3756,0.0218,149.3398334,152.5898842,2.176278576,13.6,16.4,0.028,5,6.9,0.019,17.6,18,0.004,52039,54435,0.046042391
1400000US42001030600,,0.263846489,0.251304348,0.38960462,0.203463203,0.188377724,0.321253673,0.060383286,0.062926624,0.068350947,4917,4937,0.0041,143.3653089,143.9484503,0.406752097,17.8,12.4,-0.054,4.6,7.7,0.031,20.7,21.1,0.004,60964,59286,-0.027524441
1400000US42001030700,,0.429621463,0.383657017,0.518144407,0.286699108,0.223990208,0.373816385,0.142922355,0.159666809,0.144328022,6647,6574,-0.011,211.8363184,209.5098477,-1.098239772,9,11.3,0.023,8.9,7.4,-0.015,14,15.5,0.015,49135,59058,0.201953801
1400000US42001030800,,0.481808159,0.422160665,0.54322726,0.344611529,0.295325332,0.430979644,0.13719663,0.126835333,0.112247616,7315,7132,-0.025,325.443787,317.3021311,-2.501708813,8.7,7.2,-0.015,4.9,5,0.001,13.6,15.8,0.022,56649,63164,0.115006443
1400000US42001030900,,0.337387964,0.298788265,0.417794971,0.231770833,0.209876543,0.325864033,0.105617131,0.088911722,0.091930938,7223,7826,0.0835,715.0069293,774.6980796,8.348331723,11.2,15.1,0.039,5.4,4.6,-0.008,13.3,16.7,0.034,48582,55773,0.148017784
1400000US42001031000,,0.436061381,0.400765795,0.528562049,0.330760095,0.293413174,0.403636364,0.105301286,0.107352621,0.124925685,1623,1912,0.1781,524.7332687,618.1700614,17.8065311,0,0.8,0.008,3.3,3.5,0.002,6.6,24.1,0.175,58994,64356,0.090890599
1400000US42001031101,,0.349074855,0.274783888,0.411466158,0.172209034,0.125453662,0.257554801,0.176865821,0.149330226,0.153911357,5297,4929,-0.0695,4562.446167,4245.478036,-6.947328678,3.6,8.4,0.048,3.4,4.7,0.013,11.5,13.3,0.018,43658,44310,0.014934262
1400000US42001031102,,0.4165395,0.381119039,0.507498447,0.303852525,0.270606088,0.392538717,0.112686975,0.110512951,0.11495973,3024,3352,0.1085,452.9658478,502.0970641,10.84656085,0.8,7.1,0.063,3.9,2.2,-0.017,15.8,21.8,0.06,74141,71711,-0.032775387
1400000US42001031201,,0.326139089,0.306916427,0.431391905,0.298547606,0.26395664,0.366886689,0.027591483,0.042959787,0.064505216,3632,3680,0.0132,139.681563,141.5275748,1.32158587,1.4,6.6,0.052,3.5,6.8,0.033,28.7,40.3,0.116,61630,70566,0.144994321
1400000US42001031202,,0.587386018,0.528823982,0.652377241,0.454318937,0.450125733,0.504237288,0.133067081,0.078698249,0.148139953,2653,2712,0.0222,243.3944954,248.8073394,2.22389746,0.8,0,-0.008,3.9,3.4,-0.005,17.4,23.3,0.059,72667,75833,0.043568607
1400000US42001031203,,0.556361239,0.494,0.617825793,0.464311994,0.459719143,0.536438768,0.092049245,0.034280857,0.081387025,3143,3163,0.0064,179.1495668,180.2895577,0.636334723,4.1,2.5,-0.016,3.8,8.1,0.043,16.7,20.6,0.039,66563,74000,0.111728738
1400000US42001031300,,0.470706059,0.421976919,0.546487603,0.321123321,0.315757204,0.418284283,0.149582738,0.106219715,0.12820332,4428,4442,0.0032,2946.107784,2955.422488,0.316169831,6.6,5.1,-0.015,4,5.3,0.013,14.5,17.8,0.033,50568,55902,0.105481728
1400000US42001031401,,0.114245416,0.143787808,0.251668255,0.13487134,0.096342551,0.218665464,-0.020625924,0.047445257,0.033002791,4107,4208,0.0246,358.8153067,367.63935,2.459215963,10.9,14.5,0.036,3.6,3.7,0.001,36.2,29.9,-0.063,56776,72580,0.278357052
1400000US42001031402,,0.256779192,0.247666118,0.379932356,0.223662885,0.190243902,0.310945274,0.033116307,0.057422216,0.068987082,2038,2004,-0.0167,92.71221909,91.16549904,-1.668302264,5.3,4.7,-0.006,7.6,7.8,0.002,27,30.1,0.031,54545,63500,0.164176368
1400000US42001031501,,-0.361903359,-0.268444009,-0.217488029,-0.281556409,-0.260995514,-0.176842723,-0.08034695,-0.007448495,-0.040645306,3447,3401,-0.0133,6026.223776,5945.804196,-1.334493756,14,16,0.02,5.6,6.9,0.013,52.1,36.6,-0.155,40833,42321,0.036441114
1400000US42001031502,,-0.228209026,-0.168821532,-0.107319225,-0.213974813,-0.193084516,-0.087101649,-0.014234213,0.024262984,-0.020217576,4246,4214,-0.0075,3898.989899,3869.605142,-0.753650503,19.9,30.8,0.109,6.8,10.4,0.036,31.7,27.1,-0.046,41726,33661,-0.193284762
1400000US42001031600,,0.385894207,0.364943253,0.453610897,0.27620118,0.303038909,0.336499712,0.109693027,0.061904344,0.117111185,6903,7119,0.0313,144.6836159,149.2108738,3.12907434,3.4,6,0.026,3.9,4.3,0.004,20.8,33.9,0.131,72159,75687,0.04889203
1400000US42001031700,,0.428672818,0.387535817,0.500367377,0.300155521,0.314917127,0.416129032,0.128517297,0.07261869,0.084238345,2965,2759,-0.0695,74.42082277,69.25026982,-6.947723443,7.9,7.2,-0.007,4.2,3.8,-0.004,20.8,18.9,-0.019,54338,55214,0.016121315
1400000US42003010300,,-0.538771979,-0.446384401,-0.514078837,-0.49250028,-0.437603047,-0.449541231,-0.046271699,-0.008781354,-0.064537606,4512,6294,0.3949,13549.54955,18900.9009,39.49468084,22.8,32.4,0.096,17.6,10.5,-0.071,16.5,12.4,-0.041,11125,41071,2.691775281
1400000US42003020100,,-0.447553923,-0.308109996,-0.405846228,-0.392466712,-0.365882916,-0.482077319,-0.055087211,0.05777292,0.076231091,5325,4060,-0.2376,8217.592593,6265.432099,-23.75586855,50.2,23.4,-0.268,4.7,7,0.023,31,63.5,0.325,41795,67750,0.621007298
1400000US42003020300,,-0.449756283,-0.294926984,-0.391229861,-0.319903193,-0.330388939,-0.562702572,-0.12985309,0.035461955,0.171472711,504,747,0.4821,819.5121951,1214.634146,48.21428568,42.3,16.9,-0.254,0,2.8,0.028,64.3,81.9,0.176,61442,94643,0.540363269
1400000US42003030500,,-0.909760839,-0.882039815,-0.887307742,-0.927690515,-0.914116456,-0.521380891,0.017929676,0.032076641,-0.365926851,2308,2225,-0.036,8945.736434,8624.031008,-3.596187171,84,90.9,0.069,22.9,23,0.001,21.6,10.2,-0.114,14626,17997,0.230479967
1400000US42003040200,,-0.688236804,-0.593783069,-0.59732756,-0.633415599,-0.611484544,-0.54355552,-0.054821205,0.017701475,-0.05377204,2435,1717,-0.2949,10274.2616,7244.725738,-29.48665296,64.8,64.1,-0.007,8,22,0.14,36.5,32.9,-0.036,23233,19214,-0.1729867
1400000US42003040400,,-0.64776631,-0.559256299,-0.652009931,-0.488800494,-0.490241228,-0.544698814,-0.158965816,-0.069015071,-0.107311117,2004,2098,0.0469,26025.97403,27246.75325,4.690618759,36.1,45.2,0.091,2.6,5.7,0.031,65.1,84,0.189,20406,26196,0.283740076
1400000US42003040500,,-0.599433607,-0.477759136,-0.506295868,-0.469704753,-0.399295084,-0.475423375,-0.129728854,-0.078464052,-0.030872493,2739,3629,0.3249,15049.45055,19939.56044,32.4936108,21,17.1,-0.039,8.9,6.7,-0.022,44.5,67.4,0.229,14473,17441,0.205071512
1400000US42003040600,,-0.641878796,-0.515614729,-0.564282092,-0.516799493,-0.482671903,-0.407981522,-0.125079303,-0.032942826,-0.15630057,2211,2193,-0.0081,22561.22449,22377.55102,-0.814111265,22.7,24.5,0.018,6.1,4.1,-0.02,28.6,30,0.014,19730,21277,0.078408515
1400000US42003040900,,-0.659575975,-0.574217255,-0.620985316,-0.623246232,-0.571619828,-0.499840866,-0.036329743,-0.002597427,-0.12114445,2643,2921,0.1052,7424.157303,8205.05618,10.51835037,26.7,29,0.023,15.8,6,-0.098,29.3,41.5,0.122,26725,26964,0.008942937
1400000US42003050100,,-0.944814614,-0.933690426,-0.934306874,-0.976105946,-0.956715152,-0.595643269,0.031291332,0.023024726,-0.338663605,1541,1760,0.1421,5052.459016,5770.491803,14.21155094,97.7,87.7,-0.1,18.9,17.8,-0.011,11.9,10.1,-0.018,23500,17692,-0.247148936
1400000US42003050600,,-0.877558547,-0.853577607,-0.84144584,-0.908720539,-0.858060629,-0.60440121,0.031161992,0.004483022,-0.23704463,2135,1884,-0.1176,6864.951768,6057.877814,-11.75644027,85.7,85.4,-0.003,10.3,18,0.077,30,21.2,-0.088,35290,26250,-0.256163219
1400000US42003050900,,-0.928517206,-0.920282935,-0.93620182,-0.936057911,-0.929049162,-0.417245316,0.007540705,0.008766227,-0.518956504,988,1349,0.3654,5519.553073,7536.312849,36.53846153,98.4,98.4,0,20,41.3,0.213,26.4,3.5,-0.229,14539,11975,-0.176353257
1400000US42003051000,,-0.921548437,-0.909702988,-0.897157158,-0.930718841,-0.918024762,-0.68638673,0.009170404,0.008321774,-0.210770428,2321,1965,-0.1534,9321.285141,7891.566265,-15.33821629,53,55.6,0.026,22.6,8.5,-0.141,13.1,18.4,0.053,12818,14544,0.134654392
1400000US42003051100,,-0.960996983,-0.944097836,-0.936637748,-0.975754096,-0.973824368,-0.768229718,0.014757113,0.029726532,-0.16840803,984,327,-0.6677,13859.15493,4605.633803,-66.76829268,80.8,100,0.192,14.8,52.2,0.374,3.3,0,-0.033,10902,9773,-0.10355898
1400000US42003060300,,-0.651684104,-0.572541903,-0.650256322,-0.643420455,-0.607625576,-0.444258084,-0.008263649,0.035083673,-0.205998238,2591,2572,-0.0073,5997.685185,5953.703704,-0.733307595,20.7,28,0.073,9.5,10.2,0.007,27.6,35.8,0.082,25194,37431,0.485710884
1400000US42003060500,,-0.557372812,-0.589160812,-0.707058303,-0.507406606,-0.539781137,-0.394628867,-0.049966206,-0.049379675,-0.312429436,1332,1331,-0.0008,5244.094488,5240.15748,-0.075075077,8.8,13.1,0.043,1.2,7.6,0.064,23.6,31.9,0.083,32875,37273,0.133779468
1400000US42003070300,,-0.633043855,-0.479593001,-0.55590149,-0.413053243,-0.42401806,-0.752284886,-0.219990612,-0.055574941,0.196383396,2272,2000,-0.1197,13769.69697,12121.21212,-11.971831,19.3,16.7,-0.026,3.1,2.8,-0.003,78.4,73.5,-0.049,57396,54821,-0.044863754
1400000US42003070500,,-0.676828341,-0.536883817,-0.593553871,-0.473578852,-0.462553112,-0.659411076,-0.203249489,-0.074330705,0.065857205,3197,3106,-0.0285,20106.91824,19534.59119,-2.846418547,18.3,28.6,0.103,3,3.2,0.002,84.1,88.1,0.04,48521,51250,0.056243688
