GEO_ID,,USP_MARGIN_2016,USS_MARGIN_2016,USC_MARGIN_2016,USP_MARGIN_2012,USS_MARGIN_2012,USC_MARGIN_2012,USP_MARGIN_CHANGE,USS_MARGIN_CHANGE,USC_MARGIN_CHANGE,TOTALPOP_2010,TOTALPOP_2015,TOTALPOP_CHANGE,POPDEN_2010,POPDEN_2015,POPDEN_CHANGE,NONWHITE_2010,NONWHITE_2015,NONWHITE_CHANGE,UNEMPLOY_2010,UNEMPLOY_2015,UNEMPLOY_CHANGE,COLLEGE_2010,COLLEGE_2015,COLLEGE_CHANGE,INC_2010,INC_2015,INC_CHANGE
1400000US42001030101,,0.520,0.489,0.601,0.446,0.435,0.555,0.075,0.054,0.047,2597,2586,-0.004,122.8,122.3,-0.424,4.6,5.2,0.006,3.4,6.3,0.029,18.8,19.7,0.009,70729,74667,0.056
1400000US42001030102,,0.457,0.403,0.527,0.360,0.318,0.478,0.097,0.086,0.049,5709,5809,0.018,217.0,220.8,1.752,6.5,5.4,-0.011,7.2,5.9,-0.013,15.7,23.5,0.078,62372,66806,0.071
1400000US42001030200,,0.511,0.486,0.599,0.419,0.390,0.537,0.092,0.095,0.062,5656,5198,-0.081,120.9,111.1,-8.098,15.3,17.9,0.026,5.3,7,0.017,11.8,12.6,0.008,52424,51573,-0.016
1400000US42001030300,,0.449,0.429,0.536,0.414,0.379,0.484,0.035,0.050,0.052,3932,4258,0.083,91.1,98.7,8.291,17.1,10.9,-0.062,5,5.7,0.007,17.4,16.8,-0.006,52731,62757,0.190
1400000US42001030400,,0.414,0.381,0.484,0.268,0.267,0.370,0.147,0.114,0.114,5661,5796,0.024,82.2,84.1,2.385,11.4,7.5,-0.039,2.9,3.8,0.009,18.2,22.7,0.045,57194,60478,0.057
1400000US42001030500,,0.434,0.421,0.550,0.368,0.332,0.477,0.066,0.089,0.073,3676,3756,0.022,149.3,152.6,2.176,13.6,16.4,0.028,5,6.9,0.019,17.6,18,0.004,52039,54435,0.046
1400000US42001030600,,0.264,0.251,0.390,0.203,0.188,0.321,0.060,0.063,0.068,4917,4937,0.004,143.4,143.9,0.407,17.8,12.4,-0.054,4.6,7.7,0.031,20.7,21.1,0.004,60964,59286,-0.028
1400000US42001030700,,0.430,0.384,0.518,0.287,0.224,0.374,0.143,0.160,0.144,6647,6574,-0.011,211.8,209.5,-1.098,9,11.3,0.023,8.9,7.4,-0.015,14,15.5,0.015,49135,59058,0.202
1400000US42001030800,,0.482,0.422,0.543,0.345,0.295,0.431,0.137,0.127,0.112,7315,7132,-0.025,325.4,317.3,-2.502,8.7,7.2,-0.015,4.9,5,0.001,13.6,15.8,0.022,56649,63164,0.115
1400000US42001030900,,0.337,0.299,0.418,0.232,0.210,0.326,0.106,0.089,0.092,7223,7826,0.084,715.0,774.7,8.348,11.2,15.1,0.039,5.4,4.6,-0.008,13.3,16.7,0.034,48582,55773,0.148
1400000US42001031000,,0.436,0.401,0.529,0.331,0.293,0.404,0.105,0.107,0.125,1623,1912,0.178,524.7,618.2,17.807,0,0.8,0.008,3.3,3.5,0.002,6.6,24.1,0.175,58994,64356,0.091
1400000US42001031101,,0.349,0.275,0.411,0.172,0.125,0.258,0.177,0.149,0.154,5297,4929,-0.070,4562.4,4245.5,-6.947,3.6,8.4,0.048,3.4,4.7,0.013,11.5,13.3,0.018,43658,44310,0.015
1400000US42001031102,,0.417,0.381,0.507,0.304,0.271,0.393,0.113,0.111,0.115,3024,3352,0.109,453.0,502.1,10.847,0.8,7.1,0.063,3.9,2.2,-0.017,15.8,21.8,0.06,74141,71711,-0.033
1400000US42001031201,,0.326,0.307,0.431,0.299,0.264,0.367,0.028,0.043,0.065,3632,3680,0.013,139.7,141.5,1.322,1.4,6.6,0.052,3.5,6.8,0.033,28.7,40.3,0.116,61630,70566,0.145
1400000US42001031202,,0.587,0.529,0.652,0.454,0.450,0.504,0.133,0.079,0.148,2653,2712,0.022,243.4,248.8,2.224,0.8,0,-0.008,3.9,3.4,-0.005,17.4,23.3,0.059,72667,75833,0.044
1400000US42001031203,,0.556,0.494,0.618,0.464,0.460,0.536,0.092,0.034,0.081,3143,3163,0.006,179.1,180.3,0.636,4.1,2.5,-0.016,3.8,8.1,0.043,16.7,20.6,0.039,66563,74000,0.112
1400000US42001031300,,0.471,0.422,0.546,0.321,0.316,0.418,0.150,0.106,0.128,4428,4442,0.003,2946.1,2955.4,0.316,6.6,5.1,-0.015,4,5.3,0.013,14.5,17.8,0.033,50568,55902,0.105
1400000US42001031401,,0.114,0.144,0.252,0.135,0.096,0.219,-0.021,0.047,0.033,4107,4208,0.025,358.8,367.6,2.459,10.9,14.5,0.036,3.6,3.7,0.001,36.2,29.9,-0.063,56776,72580,0.278
1400000US42001031402,,0.257,0.248,0.380,0.224,0.190,0.311,0.033,0.057,0.069,2038,2004,-0.017,92.7,91.2,-1.668,5.3,4.7,-0.006,7.6,7.8,0.002,27,30.1,0.031,54545,63500,0.164
1400000US42001031501,,-0.362,-0.268,-0.217,-0.282,-0.261,-0.177,-0.080,-0.007,-0.041,3447,3401,-0.013,6026.2,5945.8,-1.334,14,16,0.02,5.6,6.9,0.013,52.1,36.6,-0.155,40833,42321,0.036
1400000US42001031502,,-0.228,-0.169,-0.107,-0.214,-0.193,-0.087,-0.014,0.024,-0.020,4246,4214,-0.008,3899.0,3869.6,-0.754,19.9,30.8,0.109,6.8,10.4,0.036,31.7,27.1,-0.046,41726,33661,-0.193
1400000US42001031600,,0.386,0.365,0.454,0.276,0.303,0.336,0.110,0.062,0.117,6903,7119,0.031,144.7,149.2,3.129,3.4,6,0.026,3.9,4.3,0.004,20.8,33.9,0.131,72159,75687,0.049
1400000US42001031700,,0.429,0.388,0.500,0.300,0.315,0.416,0.129,0.073,0.084,2965,2759,-0.070,74.4,69.3,-6.948,7.9,7.2,-0.007,4.2,3.8,-0.004,20.8,18.9,-0.019,54338,55214,0.016
1400000US42003010300,,-0.539,-0.446,-0.514,-0.493,-0.438,-0.450,-0.046,-0.009,-0.065,4512,6294,0.395,13549.5,18900.9,39.495,22.8,32.4,0.096,17.6,10.5,-0.071,16.5,12.4,-0.041,11125,41071,2.692
1400000US42003020100,,-0.448,-0.308,-0.406,-0.392,-0.366,-0.482,-0.055,0.058,0.076,5325,4060,-0.238,8217.6,6265.4,-23.756,50.2,23.4,-0.268,4.7,7,0.023,31,63.5,0.325,41795,67750,0.621
1400000US42003020300,,-0.450,-0.295,-0.391,-0.320,-0.330,-0.563,-0.130,0.035,0.171,504,747,0.482,819.5,1214.6,48.214,42.3,16.9,-0.254,0,2.8,0.028,64.3,81.9,0.176,61442,94643,0.540
1400000US42003030500,,-0.910,-0.882,-0.887,-0.928,-0.914,-0.521,0.018,0.032,-0.366,2308,2225,-0.036,8945.7,8624.0,-3.596,84,90.9,0.069,22.9,23,0.001,21.6,10.2,-0.114,14626,17997,0.230
1400000US42003040200,,-0.688,-0.594,-0.597,-0.633,-0.611,-0.544,-0.055,0.018,-0.054,2435,1717,-0.295,10274.3,7244.7,-29.487,64.8,64.1,-0.007,8,22,0.14,36.5,32.9,-0.036,23233,19214,-0.173
1400000US42003040400,,-0.648,-0.559,-0.652,-0.489,-0.490,-0.545,-0.159,-0.069,-0.107,2004,2098,0.047,26026.0,27246.8,4.691,36.1,45.2,0.091,2.6,5.7,0.031,65.1,84,0.189,20406,26196,0.284
1400000US42003040500,,-0.599,-0.478,-0.506,-0.470,-0.399,-0.475,-0.130,-0.078,-0.031,2739,3629,0.325,15049.5,19939.6,32.494,21,17.1,-0.039,8.9,6.7,-0.022,44.5,67.4,0.229,14473,17441,0.205
1400000US42003040600,,-0.642,-0.516,-0.564,-0.517,-0.483,-0.408,-0.125,-0.033,-0.156,2211,2193,-0.008,22561.2,22377.6,-0.814,22.7,24.5,0.018,6.1,4.1,-0.02,28.6,30,0.014,19730,21277,0.078
1400000US42003040900,,-0.660,-0.574,-0.621,-0.623,-0.572,-0.500,-0.036,-0.003,-0.121,2643,2921,0.105,7424.2,8205.1,10.518,26.7,29,0.023,15.8,6,-0.098,29.3,41.5,0.122,26725,26964,0.009
1400000US42003050100,,-0.945,-0.934,-0.934,-0.976,-0.957,-0.596,0.031,0.023,-0.339,1541,1760,0.142,5052.5,5770.5,14.212,97.7,87.7,-0.1,18.9,17.8,-0.011,11.9,10.1,-0.018,23500,17692,-0.247
1400000US42003050600,,-0.878,-0.854,-0.841,-0.909,-0.858,-0.604,0.031,0.004,-0.237,2135,1884,-0.118,6865.0,6057.9,-11.756,85.7,85.4,-0.003,10.3,18,0.077,30,21.2,-0.088,35290,26250,-0.256
1400000US42003050900,,-0.929,-0.920,-0.936,-0.936,-0.929,-0.417,0.008,0.009,-0.519,988,1349,0.365,5519.6,7536.3,36.538,98.4,98.4,0,20,41.3,0.213,26.4,3.5,-0.229,14539,11975,-0.176
1400000US42003051000,,-0.922,-0.910,-0.897,-0.931,-0.918,-0.686,0.009,0.008,-0.211,2321,1965,-0.153,9321.3,7891.6,-15.338,53,55.6,0.026,22.6,8.5,-0.141,13.1,18.4,0.053,12818,14544,0.135
1400000US42003051100,,-0.961,-0.944,-0.937,-0.976,-0.974,-0.768,0.015,0.030,-0.168,984,327,-0.668,13859.2,4605.6,-66.768,80.8,100,0.192,14.8,52.2,0.374,3.3,0,-0.033,10902,9773,-0.104
1400000US42003060300,,-0.652,-0.573,-0.650,-0.643,-0.608,-0.444,-0.008,0.035,-0.206,2591,2572,-0.007,5997.7,5953.7,-0.733,20.7,28,0.073,9.5,10.2,0.007,27.6,35.8,0.082,25194,37431,0.486
1400000US42003060500,,-0.557,-0.589,-0.707,-0.507,-0.540,-0.395,-0.050,-0.049,-0.312,1332,1331,-0.001,5244.1,5240.2,-0.075,8.8,13.1,0.043,1.2,7.6,0.064,23.6,31.9,0.083,32875,37273,0.134
1400000US42003070300,,-0.633,-0.480,-0.556,-0.413,-0.424,-0.752,-0.220,-0.056,0.196,2272,2000,-0.120,13769.7,12121.2,-11.972,19.3,16.7,-0.026,3.1,2.8,-0.003,78.4,73.5,-0.049,57396,54821,-0.045
1400000US42003070500,,-0.677,-0.537,-0.594,-0.474,-0.463,-0.659,-0.203,-0.074,0.066,3197,3106,-0.029,20106.9,19534.6,-2.846,18.3,28.6,0.103,3,3.2,0.002,84.1,88.1,0.04,48521,51250,0.056
1400000US42003070600,,-0.677,-0.542,-0.602,-0.481,-0.493,-0.672,-0.196,-0.049,0.070,1979,2118,0.070,17669.6,18910.7,7.024,20.9,21.9,0.01,4,3.8,-0.002,85.2,79.4,-0.058,42344,47336,0.118
1400000US42003070800,,-0.691,-0.552,-0.620,-0.489,-0.474,-0.594,-0.203,-0.079,-0.025,1946,1850,-0.049,11120.0,10571.4,-4.933,39,33.5,-0.055,14.4,3.1,-0.113,74.7,81.4,0.067,48333,51703,0.070
1400000US42003070900,,-0.641,-0.517,-0.592,-0.427,-0.415,-0.812,-0.213,-0.101,0.220,4587,4488,-0.022,14796.8,14477.4,-2.158,46.8,47,0.002,7.4,4.5,-0.029,77.5,76.6,-0.009,37128,33929,-0.086
1400000US42003080200,,-0.474,-0.495,-0.634,-0.421,-0.455,-0.515,-0.053,-0.040,-0.118,1723,1710,-0.008,12954.9,12857.1,-0.754,7.1,12.6,0.055,5.4,2.9,-0.025,25.9,41.8,0.159,36200,40144,0.109
1400000US42003080400,,-0.522,-0.491,-0.583,-0.408,-0.415,-0.724,-0.114,-0.076,0.140,1419,1551,0.093,8548.2,9343.4,9.302,12,24.4,0.124,5.3,2.7,-0.026,40.9,58.2,0.173,37321,32837,-0.120
1400000US42003080600,,-0.697,-0.647,-0.706,-0.622,-0.582,-0.925,-0.075,-0.064,0.219,2253,2055,-0.088,14442.3,13173.1,-8.788,22.9,11.1,-0.118,2.9,5.8,0.029,57.6,67.6,0.1,39330,51509,0.310
1400000US42003080700,,-0.760,-0.679,-0.703,-0.709,-0.675,-0.922,-0.051,-0.004,0.219,1412,1840,0.303,13320.8,17358.5,30.312,36.1,42.6,0.065,10.2,3.9,-0.063,61.3,71.3,0.1,22252,36944,0.660
1400000US42003080900,,-0.640,-0.615,-0.697,-0.615,-0.591,-0.763,-0.025,-0.024,0.066,1864,1701,-0.087,12680.3,11571.4,-8.745,21.7,18.5,-0.032,5.3,5.1,-0.002,39.2,57.8,0.186,34815,49750,0.429
1400000US42003090100,,-0.610,-0.566,-0.674,-0.618,-0.632,-0.919,0.009,0.066,0.246,1758,1794,0.021,6761.5,6900.0,2.048,29.2,15.7,-0.135,12.6,4.9,-0.077,13.7,46.2,0.325,24840,50781,1.044
1400000US42003090200,,-0.552,-0.552,-0.674,-0.516,-0.540,-0.751,-0.036,-0.012,0.077,2796,2981,0.066,16350.9,17432.7,6.617,16.1,16.4,0.003,5.9,2.4,-0.035,33.8,37.8,0.04,36315,53724,0.479
1400000US42003090300,,-0.579,-0.573,-0.668,-0.538,-0.516,-0.696,-0.041,-0.057,0.028,1744,1652,-0.053,17795.9,16857.1,-5.275,19.7,12.5,-0.072,10.8,14.2,0.034,12.9,36,0.231,20978,33816,0.612
1400000US42003100500,,-0.803,-0.786,-0.807,-0.815,-0.804,-0.575,0.012,0.018,-0.232,2057,2256,0.097,7346.4,8057.1,9.674,73.9,72.2,-0.017,10.2,6,-0.042,32.2,36.7,0.045,49044,41051,-0.163
1400000US42003101100,,-0.540,-0.531,-0.665,-0.539,-0.548,-0.479,-0.001,0.017,-0.186,2522,2754,0.092,6227.2,6800.0,9.199,31.2,20.4,-0.108,11.4,4.4,-0.07,17.1,40.5,0.234,32125,41615,0.295
1400000US42003101400,,-0.465,-0.461,-0.604,-0.394,-0.460,-0.543,-0.071,-0.002,-0.061,3699,3262,-0.118,9916.9,8745.3,-11.814,17.1,18.9,0.018,6,4.3,-0.017,34.3,40.2,0.059,43600,45761,0.050
1400000US42003101600,,-0.915,-0.899,-0.907,-0.948,-0.940,-0.650,0.034,0.041,-0.258,945,990,0.048,5279.3,5530.7,4.762,94.4,98.5,0.041,22.1,15.4,-0.067,17.2,13,-0.042,24250,26905,0.109
1400000US42003101700,,-0.871,-0.864,-0.897,-0.905,-0.868,-0.672,0.035,0.004,-0.225,1471,1539,0.046,9677.6,10125.0,4.623,85,75.6,-0.094,7.5,7.5,0,13.7,19.2,0.055,24878,32163,0.293
1400000US42003101800,,-0.518,-0.506,-0.654,-0.462,-0.509,-0.509,-0.056,0.004,-0.145,2851,2505,-0.121,6171.0,5422.1,-12.136,24.6,21.4,-0.032,6.5,3.6,-0.029,38.3,37.5,-0.008,53750,56556,0.052
1400000US42003110200,,-0.742,-0.682,-0.730,-0.703,-0.675,-0.627,-0.040,-0.007,-0.103,3771,4260,0.130,11971.4,13523.8,12.967,41.4,43.8,0.024,3.4,6.4,0.03,57.4,50.5,-0.069,46722,48011,0.028
1400000US42003110600,,-0.760,-0.696,-0.781,-0.679,-0.694,-0.554,-0.081,-0.002,-0.227,2643,2523,-0.045,10787.8,10298.0,-4.540,41.5,18.5,-0.23,9.3,3.8,-0.055,64.9,70.9,0.06,81450,67411,-0.172
1400000US42003111300,,-0.847,-0.812,-0.814,-0.880,-0.853,-0.493,0.034,0.041,-0.321,2882,2494,-0.135,13922.7,12048.3,-13.463,78.2,64.1,-0.141,15.7,5.7,-0.1,20.7,38.4,0.177,28641,33400,0.166
1400000US42003111400,,-0.915,-0.880,-0.899,-0.946,-0.912,-0.403,0.031,0.032,-0.496,1574,1437,-0.087,12492.1,11404.8,-8.704,98.9,89.1,-0.098,29.7,18.5,-0.112,11.3,19.5,0.082,18885,21154,0.120
1400000US42003111500,,-0.877,-0.823,-0.835,-0.889,-0.869,-0.600,0.012,0.046,-0.235,3206,3043,-0.051,8641.5,8202.2,-5.084,77.1,75.4,-0.017,9.9,10.3,0.004,36.9,36.5,-0.004,19136,24308,0.270
1400000US42003120300,,-0.960,-0.931,-0.952,-0.967,-0.948,-0.390,0.006,0.016,-0.562,1777,1785,0.005,4261.4,4280.6,0.450,94.5,97.5,0.03,6.3,26.6,0.203,17.9,10.3,-0.076,42633,25368,-0.405
1400000US42003120400,,-0.954,-0.937,-0.959,-0.977,-0.969,-0.769,0.023,0.033,-0.190,695,734,0.056,4112.4,4343.2,5.612,93.1,94.6,0.015,23.2,35.1,0.119,3.3,3.6,0.003,22188,15960,-0.281
1400000US42003120700,,-0.945,-0.949,-0.960,-0.967,-0.956,-0.758,0.022,0.008,-0.202,980,850,-0.133,4924.6,4271.4,-13.265,100,99.4,-0.006,19,11.5,-0.075,7.4,5.2,-0.022,14900,19762,0.326
